<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	1.03557	1.03559	1.03527	1.03536	197	0	1
2025.01.02	01:15:00	1.03534	1.03546	1.03514	1.03514	455	0	0
2025.01.02	01:30:00	1.03514	1.03519	1.03464	1.03493	462	0	0
2025.01.02	01:45:00	1.03494	1.03534	1.03490	1.03508	633	0	0
2025.01.02	02:00:00	1.03509	1.03519	1.03491	1.03495	463	0	0
2025.01.02	02:15:00	1.03495	1.03513	1.03473	1.03507	433	0	0
2025.01.02	02:30:00	1.03506	1.03518	1.03485	1.03509	386	0	0
2025.01.02	02:45:00	1.03504	1.03565	1.03503	1.03520	533	0	0
2025.01.02	03:00:00	1.03521	1.03521	1.03441	1.03491	1044	0	1
2025.01.02	03:15:00	1.03491	1.03540	1.03465	1.03510	857	0	1
2025.01.02	03:30:00	1.03510	1.03608	1.03489	1.03583	810	0	0
2025.01.02	03:45:00	1.03582	1.03601	1.03568	1.03575	1338	0	1
2025.01.02	04:00:00	1.03578	1.03613	1.03573	1.03598	1677	0	1
2025.01.02	04:15:00	1.03600	1.03637	1.03594	1.03633	418	0	0
2025.01.02	04:30:00	1.03632	1.03673	1.03630	1.03668	284	0	0
2025.01.02	04:45:00	1.03668	1.03714	1.03663	1.03710	333	0	0
2025.01.02	05:00:00	1.03712	1.03735	1.03706	1.03714	376	0	0
2025.01.02	05:15:00	1.03712	1.03718	1.03677	1.03706	338	0	0
2025.01.02	05:30:00	1.03704	1.03743	1.03701	1.03719	250	0	0
2025.01.02	05:45:00	1.03720	1.03727	1.03693	1.03717	313	0	0
2025.01.02	06:00:00	1.03717	1.03758	1.03713	1.03745	372	0	0
2025.01.02	06:15:00	1.03744	1.03750	1.03710	1.03712	272	0	0
2025.01.02	06:30:00	1.03712	1.03715	1.03665	1.03670	326	0	0
2025.01.02	06:45:00	1.03671	1.03707	1.03665	1.03693	227	0	0
2025.01.02	07:00:00	1.03694	1.03707	1.03655	1.03663	341	0	0
2025.01.02	07:15:00	1.03664	1.03671	1.03633	1.03648	239	0	0
2025.01.02	07:30:00	1.03647	1.03653	1.03620	1.03620	239	0	0
2025.01.02	07:45:00	1.03620	1.03650	1.03618	1.03639	293	0	0
2025.01.02	08:00:00	1.03638	1.03638	1.03608	1.03623	372	0	0
2025.01.02	08:15:00	1.03619	1.03635	1.03605	1.03618	352	0	0
2025.01.02	08:30:00	1.03615	1.03640	1.03600	1.03634	371	0	0
2025.01.02	08:45:00	1.03634	1.03651	1.03623	1.03634	684	0	0
2025.01.02	09:00:00	1.03632	1.03678	1.03625	1.03673	2682	0	1
2025.01.02	09:15:00	1.03675	1.03692	1.03656	1.03682	2843	0	1
2025.01.02	09:30:00	1.03683	1.03692	1.03656	1.03679	2424	0	2
2025.01.02	09:45:00	1.03680	1.03722	1.03619	1.03623	2632	0	0
2025.01.02	10:00:00	1.03623	1.03705	1.03573	1.03575	1456	0	10
2025.01.02	10:15:00	1.03575	1.03590	1.03478	1.03484	1102	0	10
2025.01.02	10:30:00	1.03484	1.03601	1.03458	1.03572	2163	0	2
2025.01.02	10:45:00	1.03570	1.03620	1.03542	1.03618	3258	0	16
2025.01.02	11:00:00	1.03619	1.03660	1.03560	1.03625	2806	0	1
2025.01.02	11:15:00	1.03630	1.03699	1.03610	1.03616	1333	0	8
2025.01.02	11:30:00	1.03616	1.03644	1.03545	1.03553	731	0	8
2025.01.02	11:45:00	1.03553	1.03568	1.03489	1.03512	674	0	10
2025.01.02	12:00:00	1.03511	1.03548	1.03511	1.03533	803	0	8
2025.01.02	12:15:00	1.03532	1.03564	1.03494	1.03502	642	0	10
2025.01.02	12:30:00	1.03506	1.03506	1.03392	1.03400	1282	0	1
2025.01.02	12:45:00	1.03400	1.03416	1.03137	1.03168	2071	0	0
2025.01.02	13:00:00	1.03168	1.03326	1.03158	1.03310	1052	0	0
2025.01.02	13:15:00	1.03310	1.03342	1.03219	1.03219	823	0	0
2025.01.02	13:30:00	1.03219	1.03251	1.03150	1.03239	828	0	0
2025.01.02	13:45:00	1.03239	1.03324	1.03213	1.03322	690	0	0
2025.01.02	14:00:00	1.03322	1.03344	1.03272	1.03296	935	0	0
2025.01.02	14:15:00	1.03296	1.03325	1.03267	1.03293	741	0	0
2025.01.02	14:30:00	1.03293	1.03316	1.03231	1.03246	891	0	0
2025.01.02	14:45:00	1.03246	1.03276	1.03148	1.03183	1211	0	0
2025.01.02	15:00:00	1.03182	1.03238	1.03137	1.03176	1242	0	0
2025.01.02	15:15:00	1.03178	1.03220	1.03127	1.03180	1322	0	0
2025.01.02	15:30:00	1.03174	1.03297	1.03114	1.03246	2264	0	0
2025.01.02	15:45:00	1.03243	1.03244	1.03118	1.03135	1575	0	0
2025.01.02	16:00:00	1.03135	1.03146	1.03063	1.03108	1192	0	0
2025.01.02	16:15:00	1.03107	1.03202	1.03079	1.03159	1289	0	0
2025.01.02	16:30:00	1.03160	1.03238	1.03102	1.03119	1517	0	0
2025.01.02	16:45:00	1.03121	1.03168	1.03022	1.03061	1364	0	0
2025.01.02	17:00:00	1.03050	1.03088	1.03009	1.03038	1331	0	0
2025.01.02	17:15:00	1.03038	1.03083	1.02809	1.02857	1669	0	0
2025.01.02	17:30:00	1.02855	1.02972	1.02817	1.02918	1963	0	0
2025.01.02	17:45:00	1.02918	1.02924	1.02725	1.02741	2323	0	0
2025.01.02	18:00:00	1.02741	1.02763	1.02241	1.02576	3594	0	0
2025.01.02	18:15:00	1.02575	1.02626	1.02500	1.02532	1893	0	0
2025.01.02	18:30:00	1.02533	1.02553	1.02411	1.02456	1859	0	0
2025.01.02	18:45:00	1.02456	1.02644	1.02429	1.02612	1525	0	0
2025.01.02	19:00:00	1.02612	1.02681	1.02558	1.02633	1561	0	0
2025.01.02	19:15:00	1.02633	1.02658	1.02566	1.02569	1286	0	0
2025.01.02	19:30:00	1.02569	1.02665	1.02513	1.02636	1103	0	0
2025.01.02	19:45:00	1.02641	1.02663	1.02587	1.02649	855	0	0
2025.01.02	20:00:00	1.02652	1.02663	1.02612	1.02626	844	0	0
2025.01.02	20:15:00	1.02626	1.02656	1.02602	1.02626	674	0	0
2025.01.02	20:30:00	1.02626	1.02626	1.02562	1.02610	641	0	0
2025.01.02	20:45:00	1.02610	1.02620	1.02557	1.02564	555	0	0
2025.01.02	21:00:00	1.02565	1.02594	1.02499	1.02511	586	0	0
2025.01.02	21:15:00	1.02510	1.02579	1.02494	1.02570	506	0	0
2025.01.02	21:30:00	1.02569	1.02596	1.02525	1.02530	518	0	0
2025.01.02	21:45:00	1.02533	1.02538	1.02480	1.02511	547	0	0
2025.01.02	22:00:00	1.02511	1.02567	1.02507	1.02543	523	0	0
2025.01.02	22:15:00	1.02542	1.02632	1.02541	1.02621	439	0	0
2025.01.02	22:30:00	1.02623	1.02645	1.02595	1.02619	354	0	0
2025.01.02	22:45:00	1.02620	1.02642	1.02610	1.02614	401	0	0
2025.01.02	23:00:00	1.02613	1.02655	1.02613	1.02632	361	0	0
2025.01.02	23:15:00	1.02632	1.02658	1.02619	1.02651	358	0	0
2025.01.02	23:30:00	1.02651	1.02679	1.02632	1.02667	258	0	0
2025.01.02	23:45:00	1.02668	1.02688	1.02635	1.02667	257	0	0
2025.01.03	00:00:00	1.02541	1.02632	1.02541	1.02612	402	0	8
2025.01.03	00:15:00	1.02613	1.02662	1.02596	1.02650	699	0	8
2025.01.03	00:30:00	1.02656	1.02666	1.02632	1.02658	928	0	8
2025.01.03	00:45:00	1.02657	1.02669	1.02639	1.02647	349	0	8
2025.01.03	01:00:00	1.02647	1.02670	1.02643	1.02664	604	0	0
2025.01.03	01:15:00	1.02664	1.02673	1.02646	1.02662	294	0	0
2025.01.03	01:30:00	1.02664	1.02664	1.02646	1.02654	281	0	0
2025.01.03	01:45:00	1.02658	1.02681	1.02649	1.02677	367	0	0
2025.01.03	02:00:00	1.02678	1.02693	1.02663	1.02664	421	0	0
2025.01.03	02:15:00	1.02664	1.02683	1.02659	1.02675	402	0	0
2025.01.03	02:30:00	1.02675	1.02694	1.02673	1.02692	213	0	0
2025.01.03	02:45:00	1.02692	1.02736	1.02691	1.02729	281	0	0
2025.01.03	03:00:00	1.02729	1.02729	1.02686	1.02693	333	0	0
2025.01.03	03:15:00	1.02693	1.02717	1.02670	1.02683	421	0	0
2025.01.03	03:30:00	1.02683	1.02702	1.02674	1.02678	384	0	0
2025.01.03	03:45:00	1.02680	1.02691	1.02666	1.02674	336	0	0
2025.01.03	04:00:00	1.02674	1.02718	1.02668	1.02697	383	0	0
2025.01.03	04:15:00	1.02697	1.02715	1.02676	1.02715	439	0	0
2025.01.03	04:30:00	1.02718	1.02724	1.02701	1.02718	324	0	0
2025.01.03	04:45:00	1.02718	1.02746	1.02713	1.02723	411	0	0
2025.01.03	05:00:00	1.02723	1.02727	1.02715	1.02720	229	0	0
2025.01.03	05:15:00	1.02720	1.02745	1.02703	1.02736	457	0	0
2025.01.03	05:30:00	1.02736	1.02740	1.02707	1.02716	362	0	0
2025.01.03	05:45:00	1.02717	1.02717	1.02688	1.02707	408	0	0
2025.01.03	06:00:00	1.02707	1.02710	1.02674	1.02695	297	0	0
2025.01.03	06:15:00	1.02690	1.02699	1.02669	1.02689	289	0	0
2025.01.03	06:30:00	1.02689	1.02698	1.02671	1.02677	273	0	0
2025.01.03	06:45:00	1.02677	1.02698	1.02672	1.02696	351	0	0
2025.01.03	07:00:00	1.02697	1.02698	1.02662	1.02662	442	0	0
2025.01.03	07:15:00	1.02658	1.02720	1.02648	1.02717	282	0	0
2025.01.03	07:30:00	1.02717	1.02736	1.02713	1.02721	274	0	0
2025.01.03	07:45:00	1.02720	1.02726	1.02698	1.02718	382	0	0
2025.01.03	08:00:00	1.02717	1.02746	1.02713	1.02744	290	0	0
2025.01.03	08:15:00	1.02744	1.02748	1.02730	1.02739	320	0	0
2025.01.03	08:30:00	1.02739	1.02744	1.02722	1.02742	381	0	0
2025.01.03	08:45:00	1.02743	1.02794	1.02734	1.02792	359	0	0
2025.01.03	09:00:00	1.02789	1.02826	1.02760	1.02803	804	0	0
2025.01.03	09:15:00	1.02803	1.02817	1.02688	1.02782	1876	0	0
2025.01.03	09:30:00	1.02783	1.02849	1.02779	1.02828	860	0	0
2025.01.03	09:45:00	1.02828	1.02839	1.02806	1.02808	862	0	0
2025.01.03	10:00:00	1.02807	1.02881	1.02781	1.02844	1208	0	0
2025.01.03	10:15:00	1.02844	1.02881	1.02808	1.02810	981	0	0
2025.01.03	10:30:00	1.02810	1.02811	1.02727	1.02776	961	0	0
2025.01.03	10:45:00	1.02776	1.02860	1.02768	1.02803	783	0	0
2025.01.03	11:00:00	1.02803	1.02947	1.02803	1.02933	1105	0	0
2025.01.03	11:15:00	1.02936	1.02992	1.02918	1.02962	853	0	0
2025.01.03	11:30:00	1.02962	1.02999	1.02898	1.02898	697	0	0
2025.01.03	11:45:00	1.02897	1.02914	1.02876	1.02902	739	0	0
2025.01.03	12:00:00	1.02902	1.02938	1.02838	1.02854	679	0	0
2025.01.03	12:15:00	1.02853	1.02861	1.02800	1.02837	687	0	0
2025.01.03	12:30:00	1.02837	1.02860	1.02821	1.02837	570	0	0
2025.01.03	12:45:00	1.02835	1.02848	1.02792	1.02812	485	0	0
2025.01.03	13:00:00	1.02812	1.02894	1.02812	1.02892	796	0	0
2025.01.03	13:15:00	1.02891	1.02992	1.02884	1.02980	578	0	0
2025.01.03	13:30:00	1.02980	1.02999	1.02921	1.02997	733	0	0
2025.01.03	13:45:00	1.02997	1.03030	1.02974	1.02974	632	0	0
2025.01.03	14:00:00	1.02974	1.03011	1.02947	1.02968	824	0	0
2025.01.03	14:15:00	1.02967	1.02973	1.02944	1.02963	668	0	0
2025.01.03	14:30:00	1.02963	1.03008	1.02958	1.02977	705	0	0
2025.01.03	14:45:00	1.02977	1.03008	1.02953	1.02955	804	0	0
2025.01.03	15:00:00	1.02956	1.03002	1.02953	1.02976	627	0	0
2025.01.03	15:15:00	1.02978	1.02981	1.02916	1.02939	785	0	0
2025.01.03	15:30:00	1.02939	1.03000	1.02933	1.02995	860	0	0
2025.01.03	15:45:00	1.02994	1.02999	1.02915	1.02931	919	0	0
2025.01.03	16:00:00	1.02931	1.02932	1.02880	1.02898	950	0	0
2025.01.03	16:15:00	1.02901	1.02948	1.02898	1.02911	773	0	0
2025.01.03	16:30:00	1.02917	1.02985	1.02893	1.02967	1050	0	0
2025.01.03	16:45:00	1.02967	1.03023	1.02955	1.03003	870	0	0
2025.01.03	17:00:00	1.02985	1.03059	1.02891	1.02892	2316	0	0
2025.01.03	17:15:00	1.02890	1.02911	1.02732	1.02752	1742	0	0
2025.01.03	17:30:00	1.02754	1.02851	1.02729	1.02835	1569	0	0
2025.01.03	17:45:00	1.02834	1.02892	1.02809	1.02892	1368	0	0
2025.01.03	18:00:00	1.02890	1.02943	1.02861	1.02894	1042	0	0
2025.01.03	18:15:00	1.02894	1.02961	1.02894	1.02955	691	0	0
2025.01.03	18:30:00	1.02959	1.02999	1.02867	1.02897	854	0	0
2025.01.03	18:45:00	1.02898	1.02910	1.02835	1.02908	674	0	0
2025.01.03	19:00:00	1.02911	1.03035	1.02909	1.03026	813	0	0
2025.01.03	19:15:00	1.03026	1.03045	1.02990	1.03022	591	0	0
2025.01.03	19:30:00	1.03023	1.03058	1.02985	1.03000	693	0	0
2025.01.03	19:45:00	1.02999	1.03029	1.02973	1.02980	778	0	0
2025.01.03	20:00:00	1.02980	1.02987	1.02926	1.02981	683	0	0
2025.01.03	20:15:00	1.02981	1.03015	1.02963	1.03013	734	0	0
2025.01.03	20:30:00	1.03013	1.03022	1.02976	1.02981	633	0	0
2025.01.03	20:45:00	1.02983	1.02993	1.02938	1.02973	545	0	0
2025.01.03	21:00:00	1.02970	1.02986	1.02938	1.02980	575	0	0
2025.01.03	21:15:00	1.02980	1.03046	1.02975	1.03039	584	0	0
2025.01.03	21:30:00	1.03040	1.03061	1.03027	1.03055	388	0	0
2025.01.03	21:45:00	1.03055	1.03055	1.02986	1.03012	523	0	0
2025.01.03	22:00:00	1.03011	1.03067	1.02988	1.03067	664	0	0
2025.01.03	22:15:00	1.03066	1.03075	1.03023	1.03030	444	0	0
2025.01.03	22:30:00	1.03031	1.03037	1.03009	1.03018	352	0	0
2025.01.03	22:45:00	1.03018	1.03072	1.03013	1.03058	482	0	0
2025.01.03	23:00:00	1.03056	1.03100	1.03047	1.03071	286	0	0
2025.01.03	23:15:00	1.03071	1.03080	1.03065	1.03077	335	0	0
2025.01.03	23:30:00	1.03077	1.03079	1.03034	1.03071	236	0	0
2025.01.03	23:45:00	1.03071	1.03082	1.03044	1.03077	243	0	0
2025.01.06	00:00:00	1.03017	1.03059	1.03012	1.03041	401	0	1
2025.01.06	00:15:00	1.03040	1.03059	1.03016	1.03056	996	0	1
2025.01.06	00:30:00	1.03053	1.03077	1.03028	1.03062	1257	0	1
2025.01.06	00:45:00	1.03037	1.03070	1.02938	1.03008	1737	0	0
2025.01.06	01:00:00	1.03010	1.03057	1.03008	1.03053	590	0	0
2025.01.06	01:15:00	1.03053	1.03066	1.03046	1.03051	614	0	0
2025.01.06	01:30:00	1.03047	1.03073	1.03034	1.03071	725	0	0
2025.01.06	01:45:00	1.03071	1.03081	1.03040	1.03053	920	0	0
2025.01.06	02:00:00	1.03053	1.03054	1.02958	1.02967	1194	0	0
2025.01.06	02:15:00	1.02964	1.03002	1.02963	1.02973	928	0	0
2025.01.06	02:30:00	1.02974	1.02978	1.02955	1.02973	961	0	0
2025.01.06	02:45:00	1.02969	1.03046	1.02967	1.03030	1138	0	0
2025.01.06	03:00:00	1.03031	1.03069	1.03012	1.03066	1050	0	0
2025.01.06	03:15:00	1.03069	1.03114	1.03055	1.03071	836	0	0
2025.01.06	03:30:00	1.03072	1.03095	1.03052	1.03089	622	0	0
2025.01.06	03:45:00	1.03090	1.03136	1.03079	1.03118	769	0	0
2025.01.06	04:00:00	1.03116	1.03172	1.03103	1.03163	606	0	3
2025.01.06	04:15:00	1.03162	1.03169	1.03116	1.03124	1393	0	7
2025.01.06	04:30:00	1.03121	1.03154	1.03112	1.03142	634	0	2
2025.01.06	04:45:00	1.03142	1.03173	1.03141	1.03155	726	0	1
2025.01.06	05:00:00	1.03156	1.03176	1.03140	1.03159	554	0	6
2025.01.06	05:15:00	1.03158	1.03173	1.03142	1.03150	644	0	1
2025.01.06	05:30:00	1.03151	1.03159	1.03126	1.03143	329	0	10
2025.01.06	05:45:00	1.03144	1.03178	1.03138	1.03159	386	0	8
2025.01.06	06:00:00	1.03158	1.03171	1.03135	1.03135	333	0	1
2025.01.06	06:15:00	1.03135	1.03152	1.03123	1.03149	377	0	8
2025.01.06	06:30:00	1.03153	1.03170	1.03149	1.03158	256	0	1
2025.01.06	06:45:00	1.03159	1.03166	1.03144	1.03145	587	0	8
2025.01.06	07:00:00	1.03149	1.03154	1.03130	1.03138	580	0	8
2025.01.06	07:15:00	1.03137	1.03172	1.03119	1.03159	357	0	1
2025.01.06	07:30:00	1.03158	1.03177	1.03120	1.03120	635	0	1
2025.01.06	07:45:00	1.03119	1.03143	1.03080	1.03084	808	0	1
2025.01.06	08:00:00	1.03084	1.03119	1.03074	1.03111	530	0	10
2025.01.06	08:15:00	1.03110	1.03113	1.03072	1.03085	435	0	8
2025.01.06	08:30:00	1.03085	1.03151	1.03084	1.03151	358	0	1
2025.01.06	08:45:00	1.03151	1.03161	1.03103	1.03122	427	0	8
2025.01.06	09:00:00	1.03122	1.03154	1.03094	1.03136	608	0	8
2025.01.06	09:15:00	1.03136	1.03195	1.03116	1.03186	576	0	8
2025.01.06	09:30:00	1.03187	1.03266	1.03179	1.03222	751	0	10
2025.01.06	09:45:00	1.03220	1.03279	1.03210	1.03268	870	0	8
2025.01.06	10:00:00	1.03270	1.03370	1.03261	1.03368	2314	0	8
2025.01.06	10:15:00	1.03369	1.03421	1.03327	1.03399	5337	0	8
2025.01.06	10:30:00	1.03400	1.03432	1.03346	1.03346	1319	0	8
2025.01.06	10:45:00	1.03346	1.03520	1.03323	1.03496	1119	0	10
2025.01.06	11:00:00	1.03497	1.03683	1.03396	1.03566	2494	0	10
2025.01.06	11:15:00	1.03566	1.03661	1.03546	1.03576	4077	0	8
2025.01.06	11:30:00	1.03574	1.03584	1.03488	1.03512	4632	0	18
2025.01.06	11:45:00	1.03511	1.03555	1.03498	1.03549	4588	0	18
2025.01.06	12:00:00	1.03548	1.03559	1.03443	1.03446	4559	0	11
2025.01.06	12:15:00	1.03447	1.03481	1.03413	1.03443	4168	0	1
2025.01.06	12:30:00	1.03442	1.03480	1.03413	1.03414	4252	0	1
2025.01.06	12:45:00	1.03419	1.03431	1.03342	1.03342	4769	0	18
2025.01.06	13:00:00	1.03343	1.03880	1.03285	1.03784	4491	0	18
2025.01.06	13:15:00	1.03779	1.04160	1.03779	1.04128	3464	0	18
2025.01.06	13:30:00	1.04126	1.04314	1.04122	1.04168	4064	0	18
2025.01.06	13:45:00	1.04167	1.04213	1.04078	1.04209	4717	0	18
2025.01.06	14:00:00	1.04210	1.04298	1.04095	1.04098	4604	0	18
2025.01.06	14:15:00	1.04100	1.04172	1.03976	1.03984	4684	0	18
2025.01.06	14:30:00	1.03985	1.04063	1.03912	1.04039	4811	0	17
2025.01.06	14:45:00	1.04038	1.04125	1.03952	1.04102	4646	0	18
2025.01.06	15:00:00	1.04106	1.04250	1.04098	1.04225	4653	0	18
2025.01.06	15:15:00	1.04226	1.04358	1.04190	1.04348	4719	0	18
2025.01.06	15:30:00	1.04349	1.04351	1.04088	1.04096	4387	0	18
2025.01.06	15:45:00	1.04094	1.04175	1.04034	1.04160	4554	0	18
2025.01.06	16:00:00	1.04159	1.04229	1.04091	1.04095	4688	0	18
2025.01.06	16:15:00	1.04096	1.04098	1.03542	1.03804	3170	0	18
2025.01.06	16:30:00	1.03806	1.03847	1.03661	1.03682	4095	0	18
2025.01.06	16:45:00	1.03681	1.03977	1.03681	1.03916	4274	0	18
2025.01.06	17:00:00	1.03917	1.03978	1.03792	1.03856	4182	0	17
2025.01.06	17:15:00	1.03846	1.03853	1.03752	1.03799	4606	0	18
2025.01.06	17:30:00	1.03797	1.03840	1.03702	1.03747	4676	0	18
2025.01.06	17:45:00	1.03746	1.03976	1.03742	1.03925	4570	0	18
2025.01.06	18:00:00	1.03927	1.03967	1.03844	1.03891	4605	0	18
2025.01.06	18:15:00	1.03889	1.03954	1.03858	1.03941	4757	0	17
2025.01.06	18:30:00	1.03940	1.04019	1.03936	1.03975	4676	0	18
2025.01.06	18:45:00	1.03974	1.03976	1.03912	1.03960	4851	0	18
2025.01.06	19:00:00	1.03959	1.03961	1.03813	1.03820	4699	0	18
2025.01.06	19:15:00	1.03825	1.03860	1.03796	1.03825	4329	0	1
2025.01.06	19:30:00	1.03826	1.03847	1.03793	1.03815	4217	0	17
2025.01.06	19:45:00	1.03823	1.03870	1.03783	1.03865	4183	0	1
2025.01.06	20:00:00	1.03866	1.03884	1.03763	1.03818	4637	0	6
2025.01.06	20:15:00	1.03817	1.03869	1.03793	1.03847	4247	0	1
2025.01.06	20:30:00	1.03848	1.03874	1.03783	1.03835	4187	0	6
2025.01.06	20:45:00	1.03843	1.03866	1.03800	1.03812	4467	0	2
2025.01.06	21:00:00	1.03813	1.03856	1.03780	1.03835	4681	0	10
2025.01.06	21:15:00	1.03836	1.03894	1.03833	1.03871	4333	0	10
2025.01.06	21:30:00	1.03873	1.03910	1.03864	1.03877	4329	0	1
2025.01.06	21:45:00	1.03876	1.03890	1.03848	1.03875	3176	0	1
2025.01.06	22:00:00	1.03874	1.03915	1.03857	1.03909	4051	0	1
2025.01.06	22:15:00	1.03912	1.03913	1.03875	1.03885	4024	0	10
2025.01.06	22:30:00	1.03881	1.03884	1.03851	1.03871	3698	0	6
2025.01.06	22:45:00	1.03872	1.03878	1.03848	1.03870	3801	0	1
2025.01.06	23:00:00	1.03869	1.03880	1.03851	1.03872	2109	0	1
2025.01.06	23:15:00	1.03871	1.03915	1.03864	1.03903	3162	0	1
2025.01.06	23:30:00	1.03904	1.03910	1.03878	1.03889	2937	0	8
2025.01.06	23:45:00	1.03891	1.03900	1.03873	1.03889	1808	0	4
2025.01.07	00:00:00	1.03819	1.03925	1.03819	1.03904	1576	0	8
2025.01.07	00:15:00	1.03903	1.03926	1.03881	1.03900	1806	0	8
2025.01.07	00:30:00	1.03902	1.03930	1.03875	1.03899	1520	0	8
2025.01.07	00:45:00	1.03907	1.03907	1.03866	1.03875	2159	0	8
2025.01.07	01:00:00	1.03896	1.03896	1.03847	1.03853	2372	0	1
2025.01.07	01:15:00	1.03849	1.03853	1.03817	1.03823	2008	0	1
2025.01.07	01:30:00	1.03823	1.03858	1.03817	1.03844	1667	0	1
2025.01.07	01:45:00	1.03845	1.03848	1.03807	1.03824	1860	0	1
2025.01.07	02:00:00	1.03832	1.03834	1.03801	1.03809	3666	0	1
2025.01.07	02:15:00	1.03811	1.03820	1.03768	1.03771	3893	0	1
2025.01.07	02:30:00	1.03769	1.03811	1.03768	1.03810	4441	0	8
2025.01.07	02:45:00	1.03809	1.03852	1.03798	1.03841	4454	0	8
2025.01.07	03:00:00	1.03837	1.03845	1.03768	1.03790	4739	0	8
2025.01.07	03:15:00	1.03789	1.03825	1.03781	1.03797	4303	0	1
2025.01.07	03:30:00	1.03796	1.03800	1.03757	1.03766	4339	0	1
