<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	157.259	157.308	157.250	157.260	357	0	2
2025.01.02	01:15:00	157.260	157.334	157.260	157.329	969	0	2
2025.01.02	01:30:00	157.331	157.456	157.331	157.450	924	0	3
2025.01.02	01:45:00	157.450	157.779	157.450	157.698	1392	0	3
2025.01.02	02:00:00	157.699	157.772	157.583	157.638	1880	0	3
2025.01.02	02:15:00	157.637	157.641	157.438	157.454	1375	0	3
2025.01.02	02:30:00	157.455	157.572	157.452	157.541	1292	0	3
2025.01.02	02:45:00	157.543	157.555	157.294	157.435	1695	0	3
2025.01.02	03:00:00	157.437	157.593	157.417	157.554	1567	0	3
2025.01.02	03:15:00	157.553	157.644	157.524	157.611	1527	0	3
2025.01.02	03:30:00	157.612	157.666	157.522	157.564	1194	0	2
2025.01.02	03:45:00	157.564	157.589	157.482	157.510	2070	0	3
2025.01.02	04:00:00	157.510	157.511	157.417	157.425	2529	0	2
2025.01.02	04:15:00	157.426	157.445	157.348	157.366	661	0	0
2025.01.02	04:30:00	157.364	157.453	157.358	157.368	583	0	0
2025.01.02	04:45:00	157.368	157.369	157.266	157.288	458	0	0
2025.01.02	05:00:00	157.288	157.305	157.130	157.173	687	0	0
2025.01.02	05:15:00	157.171	157.218	157.170	157.197	392	0	0
2025.01.02	05:30:00	157.196	157.263	157.165	157.226	568	0	0
2025.01.02	05:45:00	157.225	157.280	157.156	157.156	417	0	0
2025.01.02	06:00:00	157.156	157.158	157.045	157.058	601	0	0
2025.01.02	06:15:00	157.063	157.095	157.032	157.047	375	0	0
2025.01.02	06:30:00	157.046	157.096	157.024	157.075	528	0	0
2025.01.02	06:45:00	157.075	157.077	156.994	157.022	408	0	0
2025.01.02	07:00:00	157.019	157.066	156.977	157.059	444	0	0
2025.01.02	07:15:00	157.060	157.169	157.054	157.154	586	0	0
2025.01.02	07:30:00	157.155	157.205	157.140	157.168	502	0	0
2025.01.02	07:45:00	157.168	157.210	157.164	157.208	495	0	0
2025.01.02	08:00:00	157.209	157.212	157.054	157.072	552	0	0
2025.01.02	08:15:00	157.072	157.093	156.838	156.852	879	0	0
2025.01.02	08:30:00	156.851	156.852	156.691	156.772	1288	0	0
2025.01.02	08:45:00	156.772	156.795	156.662	156.674	1308	0	0
2025.01.02	09:00:00	156.676	156.678	156.551	156.656	2923	0	2
2025.01.02	09:15:00	156.656	156.743	156.656	156.718	3405	0	9
2025.01.02	09:30:00	156.717	156.746	156.484	156.495	3297	0	9
2025.01.02	09:45:00	156.496	156.698	156.440	156.669	3107	0	0
