<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:15:00	2624.68	2625.02	2623.38	2623.56	532	0	18
2025.01.02	01:30:00	2623.57	2623.87	2621.98	2621.98	519	0	13
2025.01.02	01:45:00	2621.86	2624.38	2621.64	2623.70	493	0	20
2025.01.02	02:00:00	2623.80	2626.03	2622.61	2625.59	827	0	18
2025.01.02	02:15:00	2625.59	2626.40	2625.07	2626.30	742	0	18
2025.01.02	02:30:00	2626.26	2627.40	2625.34	2626.83	747	0	12
2025.01.02	02:45:00	2626.87	2627.66	2625.27	2625.27	1039	0	17
2025.01.02	03:00:00	2625.25	2630.80	2623.75	2629.57	3687	0	30
2025.01.02	03:15:00	2629.56	2632.95	2629.36	2632.56	2403	0	28
2025.01.02	03:30:00	2632.50	2634.43	2632.37	2633.53	2024	0	25
2025.01.02	03:45:00	2633.27	2633.56	2631.60	2632.90	1946	0	20
2025.01.02	04:00:00	2632.90	2634.80	2632.60	2634.61	1079	0	11
2025.01.02	04:15:00	2634.60	2636.51	2633.94	2635.64	1069	0	0
2025.01.02	04:30:00	2635.49	2635.77	2632.69	2633.47	2115	0	2
2025.01.02	04:45:00	2633.45	2635.33	2632.30	2634.69	1981	0	2
2025.01.02	05:00:00	2634.71	2635.34	2633.07	2633.11	1874	0	2
2025.01.02	05:15:00	2633.10	2634.74	2632.96	2633.42	1782	0	2
2025.01.02	05:30:00	2633.32	2634.24	2632.26	2633.38	1382	0	2
2025.01.02	05:45:00	2633.38	2633.82	2632.74	2633.62	529	0	2
2025.01.02	06:00:00	2633.62	2633.64	2632.12	2632.32	654	0	2
2025.01.02	06:15:00	2632.31	2633.14	2632.08	2632.40	585	0	2
2025.01.02	06:30:00	2632.42	2632.82	2632.07	2632.19	642	0	2
2025.01.02	06:45:00	2632.19	2634.23	2631.07	2633.99	1126	0	2
2025.01.02	07:00:00	2634.02	2634.35	2633.11	2633.36	848	0	2
2025.01.02	07:15:00	2633.36	2635.33	2633.36	2634.92	946	0	2
2025.01.02	07:30:00	2634.79	2636.44	2634.61	2634.97	1527	0	2
2025.01.02	07:45:00	2634.97	2635.32	2633.97	2634.06	1472	0	2
2025.01.02	08:00:00	2634.06	2634.13	2631.55	2631.79	1515	0	2
2025.01.02	08:15:00	2631.79	2634.44	2631.30	2634.27	1244	0	2
2025.01.02	08:30:00	2634.27	2634.64	2633.44	2634.13	1115	0	2
2025.01.02	08:45:00	2634.13	2635.40	2633.59	2634.31	1244	0	2
2025.01.02	09:00:00	2634.13	2635.02	2633.49	2634.38	786	0	20
2025.01.02	09:15:00	2634.35	2635.88	2633.55	2634.43	847	0	19
2025.01.02	09:30:00	2634.28	2634.30	2633.02	2633.62	660	0	20
2025.01.02	09:45:00	2633.61	2636.01	2632.92	2635.99	925	0	4
2025.01.02	10:00:00	2636.01	2637.03	2633.97	2635.16	1886	0	2
2025.01.02	10:15:00	2635.07	2635.20	2631.36	2633.31	1549	0	2
2025.01.02	10:30:00	2633.31	2636.88	2631.14	2636.16	1358	0	2
2025.01.02	10:45:00	2636.17	2637.71	2635.35	2636.45	1179	0	20
2025.01.02	11:00:00	2636.44	2639.82	2636.44	2638.18	1441	0	20
2025.01.02	11:15:00	2638.05	2639.96	2637.26	2637.43	1341	0	0
2025.01.02	11:30:00	2637.47	2638.42	2636.70	2637.22	1374	0	2
2025.01.02	11:45:00	2637.22	2638.00	2636.02	2636.09	1576	0	2
2025.01.02	12:00:00	2636.10	2638.95	2632.75	2638.89	1805	0	2
2025.01.02	12:15:00	2638.90	2646.28	2638.13	2644.80	2659	0	2
2025.01.02	12:30:00	2644.80	2645.71	2643.17	2644.00	2112	0	2
2025.01.02	12:45:00	2643.99	2644.13	2640.44	2642.72	2450	0	2
2025.01.02	13:00:00	2642.61	2644.59	2642.40	2644.18	1780	0	2
2025.01.02	13:15:00	2644.18	2644.39	2640.66	2641.79	1553	0	2
2025.01.02	13:30:00	2641.81	2642.84	2640.29	2642.13	1471	0	2
2025.01.02	13:45:00	2642.13	2642.60	2641.12	2641.98	1436	0	2
2025.01.02	14:00:00	2642.04	2642.92	2640.36	2641.06	1551	0	2
2025.01.02	14:15:00	2640.95	2643.24	2640.53	2642.79	1540	0	2
2025.01.02	14:30:00	2642.79	2645.24	2642.21	2644.29	2057	0	2
2025.01.02	14:45:00	2644.43	2646.49	2642.85	2643.36	2549	0	2
2025.01.02	15:00:00	2643.35	2643.35	2638.37	2638.57	3883	0	2
2025.01.02	15:15:00	2638.55	2641.10	2636.12	2640.96	2963	0	2
2025.01.02	15:30:00	2640.63	2640.96	2636.97	2639.25	3607	0	2
2025.01.02	15:45:00	2639.25	2647.22	2638.24	2643.01	3564	0	2
2025.01.02	16:00:00	2642.95	2646.91	2640.39	2646.90	3505	0	2
2025.01.02	16:15:00	2646.90	2649.11	2646.18	2646.32	3540	0	2
2025.01.02	16:30:00	2646.40	2650.17	2646.30	2649.16	4212	0	2
2025.01.02	16:45:00	2649.16	2651.13	2646.99	2647.74	3518	0	2
2025.01.02	17:00:00	2647.69	2649.66	2645.19	2648.59	4442	0	2
2025.01.02	17:15:00	2648.59	2649.66	2647.56	2648.81	3552	0	2
2025.01.02	17:30:00	2648.76	2653.70	2648.33	2652.02	3739	0	2
2025.01.02	17:45:00	2652.03	2655.94	2651.45	2654.12	4025	0	2
2025.01.02	18:00:00	2654.14	2654.42	2650.00	2653.65	4486	0	2
2025.01.02	18:15:00	2653.59	2657.96	2653.39	2656.73	3953	0	2
2025.01.02	18:30:00	2656.77	2658.47	2654.84	2657.57	2790	0	2
2025.01.02	18:45:00	2657.53	2660.39	2657.48	2659.33	2268	0	2
2025.01.02	19:00:00	2659.32	2660.40	2658.06	2659.11	1878	0	2
2025.01.02	19:15:00	2659.11	2659.96	2656.04	2656.33	2200	0	2
2025.01.02	19:30:00	2656.43	2656.48	2653.08	2653.73	2534	0	2
2025.01.02	19:45:00	2653.79	2656.76	2652.57	2656.52	2137	0	2
2025.01.02	20:00:00	2656.52	2658.84	2655.93	2656.81	2017	0	2
2025.01.02	20:15:00	2656.78	2658.16	2654.95	2655.00	2332	0	2
2025.01.02	20:30:00	2655.02	2656.18	2653.85	2655.84	1806	0	2
2025.01.02	20:45:00	2655.86	2656.07	2654.71	2655.47	1666	0	2
2025.01.02	21:00:00	2655.51	2655.96	2654.31	2654.54	1816	0	2
2025.01.02	21:15:00	2654.52	2656.10	2653.80	2655.53	2001	0	2
2025.01.02	21:30:00	2655.51	2657.13	2654.41	2655.00	1593	0	2
2025.01.02	21:45:00	2655.01	2655.60	2654.37	2654.71	1804	0	2
2025.01.02	22:00:00	2654.74	2657.24	2654.15	2656.98	1963	0	2
2025.01.02	22:15:00	2656.99	2660.44	2656.38	2659.97	1551	0	2
2025.01.02	22:30:00	2659.89	2660.42	2658.73	2659.12	1576	0	2
2025.01.02	22:45:00	2659.12	2660.11	2659.07	2659.74	1827	0	2
2025.01.02	23:00:00	2659.66	2660.21	2658.94	2658.96	413	0	2
2025.01.02	23:15:00	2658.96	2659.28	2657.83	2658.14	512	0	2
2025.01.02	23:30:00	2658.11	2658.34	2656.51	2657.90	410	0	2
2025.01.02	23:45:00	2657.89	2658.39	2656.90	2657.39	309	0	14
2025.01.03	01:00:00	2657.77	2658.27	2657.49	2658.10	208	0	4
2025.01.03	01:15:00	2658.04	2658.96	2657.99	2658.79	355	0	5
2025.01.03	01:30:00	2658.81	2659.51	2658.41	2659.20	373	0	14
2025.01.03	01:45:00	2659.24	2659.38	2657.80	2658.32	723	0	3
2025.01.03	02:00:00	2658.35	2661.04	2658.31	2660.67	670	0	2
2025.01.03	02:15:00	2660.67	2661.23	2659.41	2659.68	727	0	2
2025.01.03	02:30:00	2659.67	2660.38	2658.66	2658.99	740	0	2
2025.01.03	02:45:00	2658.99	2660.96	2658.73	2660.76	715	0	2
2025.01.03	03:00:00	2660.76	2662.41	2659.33	2660.86	1986	0	2
2025.01.03	03:15:00	2660.84	2661.40	2658.14	2658.81	1412	0	2
2025.01.03	03:30:00	2658.79	2659.18	2656.68	2657.00	1208	0	3
2025.01.03	03:45:00	2656.96	2660.13	2656.81	2659.44	1314	0	4
2025.01.03	04:00:00	2659.41	2660.30	2656.28	2659.29	1551	0	2
2025.01.03	04:15:00	2659.30	2664.00	2658.61	2659.28	1378	0	2
2025.01.03	04:30:00	2659.28	2662.01	2658.94	2661.40	1327	0	2
2025.01.03	04:45:00	2661.42	2663.02	2659.86	2662.49	1718	0	2
2025.01.03	05:00:00	2662.49	2664.62	2661.28	2663.11	1576	0	2
2025.01.03	05:15:00	2663.19	2665.29	2663.02	2663.54	1482	0	3
2025.01.03	05:30:00	2663.54	2663.66	2662.06	2662.48	948	0	2
2025.01.03	05:45:00	2662.47	2663.55	2662.17	2662.31	1002	0	4
2025.01.03	06:00:00	2662.31	2663.01	2661.78	2662.81	922	0	2
2025.01.03	06:15:00	2662.82	2664.39	2662.65	2664.06	540	0	2
2025.01.03	06:30:00	2664.08	2664.22	2662.00	2662.29	575	0	2
2025.01.03	06:45:00	2662.27	2663.14	2661.83	2662.84	644	0	2
2025.01.03	07:00:00	2662.87	2662.93	2661.14	2661.44	1222	0	2
2025.01.03	07:15:00	2661.44	2661.46	2659.93	2660.53	803	0	2
2025.01.03	07:30:00	2660.46	2660.46	2658.67	2658.98	1325	0	2
2025.01.03	07:45:00	2658.98	2659.10	2655.84	2658.53	1541	0	2
2025.01.03	08:00:00	2658.55	2660.04	2657.77	2658.57	943	0	2
2025.01.03	08:15:00	2658.67	2659.64	2657.30	2657.39	844	0	2
2025.01.03	08:30:00	2657.33	2659.37	2656.72	2659.23	1068	0	2
2025.01.03	08:45:00	2659.26	2660.33	2658.78	2659.71	1188	0	2
2025.01.03	09:00:00	2659.54	2659.61	2655.61	2656.20	1233	0	2
2025.01.03	09:15:00	2656.18	2656.36	2651.83	2652.79	2249	0	2
2025.01.03	09:30:00	2652.79	2655.01	2652.55	2654.83	1551	0	2
2025.01.03	09:45:00	2654.84	2656.09	2652.94	2654.24	1479	0	2
2025.01.03	10:00:00	2654.21	2655.83	2652.06	2653.90	2461	0	2
2025.01.03	10:15:00	2653.91	2654.73	2652.09	2652.59	1555	0	2
2025.01.03	10:30:00	2652.57	2653.66	2651.32	2652.87	1876	0	2
2025.01.03	10:45:00	2652.87	2653.51	2649.86	2652.94	1830	0	2
2025.01.03	11:00:00	2652.93	2655.64	2652.79	2654.51	2005	0	2
2025.01.03	11:15:00	2654.51	2655.93	2653.14	2653.95	1561	0	2
2025.01.03	11:30:00	2654.05	2655.89	2653.94	2654.09	1302	0	2
2025.01.03	11:45:00	2654.08	2654.62	2652.94	2653.61	1258	0	2
2025.01.03	12:00:00	2653.57	2656.89	2653.44	2656.74	1049	0	2
2025.01.03	12:15:00	2656.73	2657.29	2655.55	2656.18	1170	0	2
2025.01.03	12:30:00	2656.20	2656.53	2653.05	2655.26	1383	0	2
2025.01.03	12:45:00	2655.27	2658.05	2654.69	2657.75	1033	0	2
2025.01.03	13:00:00	2657.67	2658.84	2657.34	2657.91	1228	0	2
2025.01.03	13:15:00	2657.89	2659.27	2656.35	2656.92	1397	0	2
2025.01.03	13:30:00	2656.93	2658.48	2656.48	2658.33	1312	0	2
2025.01.03	13:45:00	2658.31	2658.73	2656.64	2657.60	1452	0	2
2025.01.03	14:00:00	2657.60	2658.30	2657.16	2657.89	992	0	2
