<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.19	00:00:00	1.17828	1.17871	1.17807	1.17870	207	0	26
2025.09.19	00:15:00	1.17856	1.17868	1.17835	1.17863	261	0	27
2025.09.19	00:30:00	1.17862	1.17873	1.17854	1.17866	396	0	7
2025.09.19	00:45:00	1.17866	1.17870	1.17844	1.17866	609	0	7
2025.09.19	01:00:00	1.17866	1.17880	1.17833	1.17878	1425	0	1
2025.09.19	01:15:00	1.17873	1.17874	1.17832	1.17861	1995	0	2
2025.09.19	01:30:00	1.17861	1.17897	1.17854	1.17866	1024	0	2
2025.09.19	01:45:00	1.17867	1.17886	1.17855	1.17867	478	0	2
2025.09.19	02:00:00	1.17869	1.17887	1.17864	1.17870	640	0	1
2025.09.19	02:15:00	1.17871	1.17882	1.17865	1.17880	352	0	1
2025.09.19	02:30:00	1.17881	1.17894	1.17867	1.17892	656	0	1
2025.09.19	02:45:00	1.17891	1.17907	1.17883	1.17889	764	0	1
2025.09.19	03:00:00	1.17890	1.17906	1.17755	1.17772	2326	0	1
2025.09.19	03:15:00	1.17773	1.17791	1.17753	1.17785	1719	0	1
2025.09.19	03:30:00	1.17784	1.17815	1.17784	1.17808	1405	0	1
2025.09.19	03:45:00	1.17806	1.17890	1.17793	1.17864	2128	0	1
2025.09.19	04:00:00	1.17863	1.17868	1.17787	1.17792	2115	0	1
2025.09.19	04:15:00	1.17793	1.17805	1.17766	1.17793	1726	0	1
2025.09.19	04:30:00	1.17792	1.17836	1.17787	1.17801	2145	0	1
2025.09.19	04:45:00	1.17801	1.17803	1.17743	1.17754	2467	0	1
2025.09.19	05:00:00	1.17755	1.17765	1.17720	1.17736	1862	0	1
2025.09.19	05:15:00	1.17737	1.17768	1.17727	1.17754	1336	0	1
2025.09.19	05:30:00	1.17755	1.17808	1.17737	1.17800	1679	0	1
2025.09.19	05:45:00	1.17800	1.17806	1.17779	1.17796	1445	0	1
2025.09.19	06:00:00	1.17793	1.17855	1.17793	1.17841	1708	0	1
2025.09.19	06:15:00	1.17840	1.17923	1.17837	1.17907	1999	0	1
2025.09.19	06:30:00	1.17908	1.17922	1.17867	1.17871	1936	0	1
2025.09.19	06:45:00	1.17871	1.17923	1.17808	1.17815	3493	0	1
2025.09.19	07:00:00	1.17817	1.17898	1.17816	1.17865	2915	0	1
2025.09.19	07:15:00	1.17865	1.17877	1.17777	1.17793	2572	0	1
2025.09.19	07:30:00	1.17793	1.17794	1.17701	1.17734	2130	0	1
2025.09.19	07:45:00	1.17736	1.17746	1.17707	1.17739	2064	0	1
2025.09.19	08:00:00	1.17738	1.17770	1.17735	1.17752	1929	0	1
2025.09.19	08:15:00	1.17753	1.17766	1.17745	1.17764	1561	0	1
2025.09.19	08:30:00	1.17763	1.17777	1.17711	1.17743	1761	0	1
2025.09.19	08:45:00	1.17745	1.17754	1.17706	1.17731	2078	0	1
2025.09.19	09:00:00	1.17730	1.17774	1.17662	1.17756	3356	0	1
2025.09.19	09:15:00	1.17753	1.17755	1.17677	1.17713	3087	0	1
2025.09.19	09:30:00	1.17714	1.17758	1.17630	1.17714	3977	0	1
2025.09.19	09:45:00	1.17712	1.17740	1.17635	1.17665	3771	0	1
2025.09.19	10:00:00	1.17664	1.17704	1.17572	1.17675	4062	0	1
2025.09.19	10:15:00	1.17675	1.17780	1.17648	1.17742	3702	0	1
2025.09.19	10:30:00	1.17743	1.17773	1.17689	1.17694	3006	0	1
2025.09.19	10:45:00	1.17692	1.17768	1.17656	1.17698	3251	0	1
2025.09.19	11:00:00	1.17699	1.17709	1.17560	1.17580	3048	0	1
2025.09.19	11:15:00	1.17578	1.17596	1.17508	1.17557	2608	0	1
2025.09.19	11:30:00	1.17557	1.17645	1.17538	1.17550	3155	0	1
2025.09.19	11:45:00	1.17550	1.17627	1.17549	1.17608	2466	0	1
2025.09.19	12:00:00	1.17608	1.17686	1.17594	1.17643	2797	0	1
2025.09.19	12:15:00	1.17644	1.17686	1.17639	1.17651	2329	0	1
2025.09.19	12:30:00	1.17650	1.17672	1.17619	1.17636	2251	0	1
2025.09.19	12:45:00	1.17636	1.17639	1.17560	1.17596	3023	0	1
2025.09.19	13:00:00	1.17595	1.17654	1.17587	1.17601	2425	0	1
2025.09.19	13:15:00	1.17600	1.17647	1.17588	1.17611	2033	0	1
2025.09.19	13:30:00	1.17612	1.17625	1.17582	1.17610	1787	0	1
2025.09.19	13:45:00	1.17611	1.17648	1.17598	1.17612	2058	0	1
2025.09.19	14:00:00	1.17612	1.17621	1.17524	1.17539	2899	0	1
2025.09.19	14:15:00	1.17538	1.17586	1.17538	1.17556	2202	0	1
2025.09.19	14:30:00	1.17559	1.17601	1.17474	1.17484	2693	0	1
2025.09.19	14:45:00	1.17483	1.17486	1.17349	1.17365	3538	0	1
2025.09.19	15:00:00	1.17367	1.17425	1.17351	1.17419	3545	0	1
2025.09.19	15:15:00	1.17420	1.17433	1.17289	1.17333	3344	0	1
2025.09.19	15:30:00	1.17330	1.17365	1.17285	1.17354	3143	0	1
2025.09.19	15:45:00	1.17353	1.17372	1.17299	1.17360	3084	0	1
2025.09.19	16:00:00	1.17359	1.17528	1.17352	1.17522	3934	0	1
2025.09.19	16:15:00	1.17520	1.17577	1.17456	1.17506	3867	0	1
2025.09.19	16:30:00	1.17506	1.17548	1.17466	1.17535	3940	0	1
2025.09.19	16:45:00	1.17538	1.17638	1.17529	1.17581	3952	0	1
2025.09.19	17:00:00	1.17582	1.17641	1.17570	1.17582	3880	0	1
2025.09.19	17:15:00	1.17582	1.17668	1.17565	1.17615	3632	0	1
2025.09.19	17:30:00	1.17616	1.17679	1.17595	1.17655	3313	0	1
2025.09.19	17:45:00	1.17653	1.17653	1.17556	1.17571	4631	0	1
2025.09.19	18:00:00	1.17570	1.17590	1.17493	1.17523	3962	0	1
2025.09.19	18:15:00	1.17524	1.17530	1.17427	1.17433	3094	0	1
2025.09.19	18:30:00	1.17434	1.17473	1.17372	1.17466	2982	0	1
2025.09.19	18:45:00	1.17467	1.17533	1.17442	1.17520	2607	0	1
2025.09.19	19:00:00	1.17521	1.17551	1.17426	1.17433	2394	0	1
2025.09.19	19:15:00	1.17433	1.17455	1.17411	1.17421	1894	0	1
2025.09.19	19:30:00	1.17419	1.17505	1.17409	1.17499	1755	0	1
2025.09.19	19:45:00	1.17500	1.17531	1.17444	1.17529	1840	0	1
2025.09.19	20:00:00	1.17530	1.17551	1.17491	1.17495	1861	0	1
2025.09.19	20:15:00	1.17494	1.17521	1.17486	1.17508	1367	0	1
2025.09.19	20:30:00	1.17508	1.17527	1.17485	1.17504	1474	0	1
2025.09.19	20:45:00	1.17504	1.17542	1.17504	1.17508	1569	0	1
2025.09.19	21:00:00	1.17506	1.17512	1.17474	1.17502	1900	0	1
2025.09.19	21:15:00	1.17501	1.17508	1.17471	1.17482	1529	0	1
2025.09.19	21:30:00	1.17480	1.17499	1.17470	1.17472	1269	0	1
2025.09.19	21:45:00	1.17474	1.17504	1.17467	1.17482	1690	0	1
2025.09.19	22:00:00	1.17481	1.17497	1.17469	1.17486	1452	0	1
2025.09.19	22:15:00	1.17483	1.17493	1.17458	1.17465	1160	0	1
2025.09.19	22:30:00	1.17464	1.17487	1.17450	1.17478	1256	0	1
2025.09.19	22:45:00	1.17478	1.17509	1.17465	1.17475	2159	0	1
2025.09.19	23:00:00	1.17475	1.17478	1.17429	1.17431	1086	0	1
2025.09.19	23:15:00	1.17433	1.17459	1.17415	1.17442	964	0	1
2025.09.19	23:30:00	1.17440	1.17448	1.17404	1.17431	1010	0	1
2025.09.19	23:45:00	1.17431	1.17468	1.17398	1.17442	1275	0	2
2025.09.22	00:00:00	1.17441	1.17443	1.17019	1.17435	87	0	0
2025.09.22	00:15:00	1.17436	1.17437	1.17434	1.17435	54	0	53
2025.09.22	00:30:00	1.17435	1.17439	1.17421	1.17432	276	0	40
2025.09.22	00:45:00	1.17433	1.17457	1.17431	1.17453	235	0	31
2025.09.22	01:00:00	1.17451	1.17486	1.17424	1.17437	840	0	2
2025.09.22	01:15:00	1.17438	1.17447	1.17402	1.17404	653	0	1
2025.09.22	01:30:00	1.17401	1.17414	1.17397	1.17398	660	0	2
2025.09.22	01:45:00	1.17399	1.17413	1.17387	1.17405	501	0	1
2025.09.22	02:00:00	1.17407	1.17415	1.17385	1.17391	628	0	1
2025.09.22	02:15:00	1.17390	1.17408	1.17388	1.17388	700	0	1
2025.09.22	02:30:00	1.17390	1.17404	1.17369	1.17393	933	0	1
2025.09.22	02:45:00	1.17392	1.17395	1.17354	1.17363	1465	0	1
2025.09.22	03:00:00	1.17363	1.17363	1.17299	1.17348	2209	0	1
2025.09.22	03:15:00	1.17348	1.17380	1.17322	1.17375	1954	0	1
2025.09.22	03:30:00	1.17373	1.17375	1.17326	1.17330	1277	0	1
2025.09.22	03:45:00	1.17331	1.17347	1.17258	1.17345	2439	0	1
2025.09.22	04:00:00	1.17345	1.17410	1.17336	1.17379	2590	0	1
2025.09.22	04:15:00	1.17377	1.17406	1.17357	1.17359	2109	0	1
2025.09.22	04:30:00	1.17361	1.17379	1.17331	1.17361	2612	0	1
2025.09.22	04:45:00	1.17363	1.17382	1.17316	1.17323	2122	0	1
2025.09.22	05:00:00	1.17324	1.17336	1.17279	1.17309	2186	0	1
2025.09.22	05:15:00	1.17309	1.17310	1.17278	1.17285	1525	0	1
2025.09.22	05:30:00	1.17285	1.17319	1.17272	1.17317	1758	0	1
2025.09.22	05:45:00	1.17317	1.17318	1.17269	1.17278	1643	0	1
2025.09.22	06:00:00	1.17280	1.17341	1.17275	1.17336	1448	0	1
2025.09.22	06:15:00	1.17334	1.17348	1.17321	1.17329	1382	0	1
2025.09.22	06:30:00	1.17329	1.17341	1.17304	1.17330	1195	0	1
2025.09.22	06:45:00	1.17331	1.17348	1.17317	1.17326	1159	0	1
2025.09.22	07:00:00	1.17324	1.17324	1.17280	1.17314	1294	0	1
2025.09.22	07:15:00	1.17314	1.17315	1.17263	1.17266	1124	0	1
2025.09.22	07:30:00	1.17265	1.17289	1.17264	1.17278	894	0	1
2025.09.22	07:45:00	1.17277	1.17308	1.17270	1.17307	1139	0	1
2025.09.22	08:00:00	1.17304	1.17316	1.17297	1.17310	963	0	1
2025.09.22	08:15:00	1.17309	1.17346	1.17306	1.17339	1167	0	1
2025.09.22	08:30:00	1.17338	1.17349	1.17312	1.17339	1417	0	1
2025.09.22	08:45:00	1.17337	1.17385	1.17337	1.17385	1401	0	1
2025.09.22	09:00:00	1.17383	1.17417	1.17359	1.17380	2495	0	1
2025.09.22	09:15:00	1.17380	1.17440	1.17360	1.17433	2483	0	1
2025.09.22	09:30:00	1.17427	1.17461	1.17395	1.17457	2503	0	1
2025.09.22	09:45:00	1.17457	1.17486	1.17415	1.17434	2791	0	1
2025.09.22	10:00:00	1.17431	1.17485	1.17389	1.17399	3180	0	1
2025.09.22	10:15:00	1.17398	1.17543	1.17391	1.17538	3214	0	1
2025.09.22	10:30:00	1.17537	1.17543	1.17469	1.17511	3056	0	1
2025.09.22	10:45:00	1.17512	1.17539	1.17479	1.17482	2433	0	1
2025.09.22	11:00:00	1.17484	1.17635	1.17468	1.17618	3030	0	1
2025.09.22	11:15:00	1.17618	1.17675	1.17610	1.17635	2862	0	1
2025.09.22	11:30:00	1.17634	1.17693	1.17632	1.17646	2600	0	1
2025.09.22	11:45:00	1.17646	1.17666	1.17610	1.17623	2395	0	1
2025.09.22	12:00:00	1.17621	1.17670	1.17619	1.17667	2454	0	1
2025.09.22	12:15:00	1.17667	1.17695	1.17620	1.17637	2525	0	1
2025.09.22	12:30:00	1.17637	1.17671	1.17614	1.17655	2264	0	1
2025.09.22	12:45:00	1.17656	1.17761	1.17654	1.17757	2512	0	1
2025.09.22	13:00:00	1.17758	1.17806	1.17746	1.17797	2557	0	1
2025.09.22	13:15:00	1.17796	1.17857	1.17746	1.17808	2407	0	1
2025.09.22	13:30:00	1.17806	1.17809	1.17737	1.17757	2114	0	1
2025.09.22	13:45:00	1.17755	1.17784	1.17735	1.17740	2025	0	1
2025.09.22	14:00:00	1.17738	1.17743	1.17704	1.17708	1890	0	1
2025.09.22	14:15:00	1.17706	1.17751	1.17690	1.17736	1878	0	1
2025.09.22	14:30:00	1.17736	1.17783	1.17736	1.17759	1793	0	1
2025.09.22	14:45:00	1.17760	1.17822	1.17734	1.17780	2313	0	1
