<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	0.90710	0.90750	0.90707	0.90714	192	0	2
2025.01.02	01:15:00	0.90717	0.90740	0.90717	0.90740	587	0	3
2025.01.02	01:30:00	0.90740	0.90771	0.90739	0.90765	931	0	4
2025.01.02	01:45:00	0.90764	0.90783	0.90751	0.90770	783	0	5
2025.01.02	02:00:00	0.90771	0.90782	0.90754	0.90771	483	0	0
2025.01.02	02:15:00	0.90769	0.90775	0.90731	0.90732	372	0	2
2025.01.02	02:30:00	0.90733	0.90743	0.90693	0.90705	332	0	2
2025.01.02	02:45:00	0.90704	0.90706	0.90653	0.90686	403	0	0
2025.01.02	03:00:00	0.90685	0.90744	0.90683	0.90719	755	0	1
2025.01.02	03:15:00	0.90718	0.90738	0.90686	0.90699	477	0	1
2025.01.02	03:30:00	0.90700	0.90721	0.90645	0.90648	492	0	2
2025.01.02	03:45:00	0.90649	0.90651	0.90598	0.90606	1709	0	4
2025.01.02	04:00:00	0.90608	0.90608	0.90571	0.90583	1610	0	3
2025.01.02	04:15:00	0.90580	0.90591	0.90546	0.90554	346	0	0
2025.01.02	04:30:00	0.90553	0.90567	0.90548	0.90548	321	0	0
2025.01.02	04:45:00	0.90549	0.90551	0.90507	0.90515	626	0	0
2025.01.02	05:00:00	0.90512	0.90519	0.90484	0.90496	389	0	0
2025.01.02	05:15:00	0.90494	0.90511	0.90478	0.90485	340	0	0
2025.01.02	05:30:00	0.90484	0.90487	0.90465	0.90476	397	0	0
2025.01.02	05:45:00	0.90476	0.90495	0.90469	0.90471	284	0	0
2025.01.02	06:00:00	0.90470	0.90470	0.90431	0.90431	292	0	0
2025.01.02	06:15:00	0.90431	0.90454	0.90423	0.90446	327	0	0
2025.01.02	06:30:00	0.90447	0.90480	0.90447	0.90478	351	0	2
2025.01.02	06:45:00	0.90478	0.90478	0.90439	0.90449	231	0	0
2025.01.02	07:00:00	0.90448	0.90464	0.90437	0.90462	479	0	0
2025.01.02	07:15:00	0.90462	0.90484	0.90458	0.90478	245	0	0
2025.01.02	07:30:00	0.90478	0.90509	0.90472	0.90507	171	0	0
2025.01.02	07:45:00	0.90505	0.90518	0.90496	0.90497	239	0	0
2025.01.02	08:00:00	0.90497	0.90521	0.90497	0.90506	251	0	0
2025.01.02	08:15:00	0.90505	0.90516	0.90487	0.90495	321	0	0
2025.01.02	08:30:00	0.90494	0.90508	0.90476	0.90489	327	0	0
2025.01.02	08:45:00	0.90489	0.90502	0.90471	0.90481	729	0	0
2025.01.02	09:00:00	0.90480	0.90489	0.90440	0.90455	2863	0	5
2025.01.02	09:15:00	0.90455	0.90470	0.90439	0.90446	2910	0	3
2025.01.02	09:30:00	0.90448	0.90471	0.90431	0.90434	2682	0	5
2025.01.02	09:45:00	0.90434	0.90474	0.90393	0.90467	2384	0	0
2025.01.02	10:00:00	0.90468	0.90504	0.90440	0.90504	824	0	10
2025.01.02	10:15:00	0.90503	0.90554	0.90494	0.90545	498	0	3
2025.01.02	10:30:00	0.90545	0.90583	0.90503	0.90533	2193	0	8
2025.01.02	10:45:00	0.90531	0.90545	0.90487	0.90491	3678	0	18
2025.01.02	11:00:00	0.90490	0.90518	0.90454	0.90459	3307	0	8
2025.01.02	11:15:00	0.90460	0.90466	0.90384	0.90415	1183	0	8
2025.01.02	11:30:00	0.90414	0.90472	0.90401	0.90470	545	0	10
2025.01.02	11:45:00	0.90469	0.90484	0.90443	0.90474	424	0	10
2025.01.02	12:00:00	0.90474	0.90479	0.90445	0.90454	510	0	4
2025.01.02	12:15:00	0.90454	0.90488	0.90444	0.90483	443	0	10
2025.01.02	12:30:00	0.90484	0.90575	0.90482	0.90566	811	0	10
2025.01.02	12:45:00	0.90565	0.90745	0.90564	0.90731	1483	0	0
2025.01.02	13:00:00	0.90731	0.90741	0.90629	0.90657	1021	0	0
2025.01.02	13:15:00	0.90657	0.90747	0.90650	0.90742	712	0	0
2025.01.02	13:30:00	0.90742	0.90789	0.90733	0.90767	458	0	0
2025.01.02	13:45:00	0.90771	0.90802	0.90753	0.90781	410	0	0
2025.01.02	14:00:00	0.90781	0.90787	0.90746	0.90764	949	0	0
2025.01.02	14:15:00	0.90762	0.90773	0.90727	0.90745	868	0	0
2025.01.02	14:30:00	0.90747	0.90782	0.90721	0.90774	703	0	0
2025.01.02	14:45:00	0.90775	0.90828	0.90753	0.90816	707	0	0
2025.01.02	15:00:00	0.90816	0.90836	0.90767	0.90827	813	0	0
2025.01.02	15:15:00	0.90825	0.90854	0.90788	0.90817	668	0	0
2025.01.02	15:30:00	0.90818	0.90901	0.90797	0.90809	1724	0	0
2025.01.02	15:45:00	0.90808	0.90882	0.90808	0.90871	1095	0	0
2025.01.02	16:00:00	0.90871	0.90923	0.90861	0.90898	849	0	0
2025.01.02	16:15:00	0.90898	0.90909	0.90827	0.90863	998	0	0
2025.01.02	16:30:00	0.90863	0.90901	0.90782	0.90898	1334	0	0
2025.01.02	16:45:00	0.90898	0.90959	0.90898	0.90941	821	0	0
2025.01.02	17:00:00	0.90948	0.90990	0.90934	0.90983	885	0	0
2025.01.02	17:15:00	0.90983	0.91020	0.90917	0.91006	1252	0	0
2025.01.02	17:30:00	0.91005	0.91063	0.90951	0.90992	1374	0	0
2025.01.02	17:45:00	0.90994	0.91089	0.90989	0.91076	1489	0	0
2025.01.02	18:00:00	0.91075	0.91280	0.91075	0.91238	2760	0	0
2025.01.02	18:15:00	0.91237	0.91263	0.91163	0.91204	1664	0	0
2025.01.02	18:30:00	0.91202	0.91362	0.91188	0.91351	1378	0	0
2025.01.02	18:45:00	0.91351	0.91372	0.91216	0.91242	1417	0	0
2025.01.02	19:00:00	0.91242	0.91297	0.91185	0.91214	1314	0	0
2025.01.02	19:15:00	0.91214	0.91285	0.91205	0.91270	1103	0	0
2025.01.02	19:30:00	0.91272	0.91305	0.91201	0.91233	841	0	0
2025.01.02	19:45:00	0.91232	0.91261	0.91226	0.91242	886	0	0
2025.01.02	20:00:00	0.91239	0.91252	0.91212	0.91236	901	0	0
2025.01.02	20:15:00	0.91235	0.91244	0.91209	0.91226	585	0	0
2025.01.02	20:30:00	0.91227	0.91244	0.91212	0.91221	471	0	0
2025.01.02	20:45:00	0.91221	0.91241	0.91209	0.91231	358	0	0
2025.01.02	21:00:00	0.91230	0.91287	0.91223	0.91283	350	0	0
2025.01.02	21:15:00	0.91282	0.91316	0.91281	0.91288	344	0	0
2025.01.02	21:30:00	0.91288	0.91317	0.91279	0.91307	375	0	0
2025.01.02	21:45:00	0.91306	0.91353	0.91300	0.91344	335	0	0
2025.01.02	22:00:00	0.91344	0.91344	0.91296	0.91311	454	0	0
2025.01.02	22:15:00	0.91311	0.91316	0.91259	0.91272	323	0	1
2025.01.02	22:30:00	0.91271	0.91285	0.91256	0.91277	383	0	1
2025.01.02	22:45:00	0.91273	0.91288	0.91260	0.91277	399	0	0
2025.01.02	23:00:00	0.91273	0.91273	0.91245	0.91255	216	0	1
2025.01.02	23:15:00	0.91255	0.91276	0.91250	0.91256	319	0	2
2025.01.02	23:30:00	0.91256	0.91273	0.91170	0.91251	358	0	2
2025.01.02	23:45:00	0.91250	0.91255	0.91165	0.91236	174	0	0
2025.01.03	00:00:00	0.91133	0.91227	0.91131	0.91197	381	0	8
2025.01.03	00:15:00	0.91197	0.91227	0.91153	0.91182	188	0	8
2025.01.03	00:30:00	0.91143	0.91210	0.91143	0.91189	510	0	8
